CurrencyName,CurrencyISO
(United States) US dollars,USD
(Canada) Canadian dollars,CAD
(United Arab Emirates) Emirati dirhams,AED
(Qatar) Qatari rials,QAR
(Saudi Arabia) Saudi riyals,SAR
(Australia) Australian dollars,AUD
(South Africa) rand,ZAR
(Brazil) reals,BRL
(United Kingdom) British pounds,GBP
(Nigeria) nairas,NGN
(Malaysia) ringgits,MYR
(Italy) euros,EUR
(Colombia) Colombian pesos,COP
(France) euros,EUR
(India) Indian rupees,INR
(Norway) Norwegian kroner,NOK
(Spain) euros,EUR
(Kuwait) Kuwaiti dinars,KWD
(Chile) Chilean pesos,CLP
(China) yuan,CNY
(Russia) Russian rubles,RUB
(Venezuela) bolivares,VEF
(Egypt) Egyptian pounds,EGP
(Austria) euros,EUR
(Mexico) Mexican pesos,MXN
(Oman) Omani rials,OMR
(Peru) nuevo sol,PEN
(Germany) euros,EUR
(Indonesia) Indonesian rupiahs,IDR
"(Korea, South) South Korean won",KRW
(Finland) euros,EUR
(Iran) rials,IRR
(Ireland) euros,EUR
(Japan) yen,JPY
(Netherlands) euros,EUR
(New Zealand) New Zealand dollars,NZD
(Trinidad and Tobago) Trinidad and Tobago dollars,TTD
(Argentina) Argentine pesos,ARS
(Bahrain) Bahraini dinars,BHD
(Chad) Communaute Financiere Africaine francs (XAF),XAF
(Cote d'Ivoire) Communaute Financiere Africaine francs (XOF),XOF
(Czech Republic) koruny,CZK
(Denmark) Danish kroner,DKK
(Ghana) cedis,GHS
(Iceland) Icelandic kronur,ISK
(Macau) patacas,MOP
(Mozambique) meticais,MZN
(Nicaragua) gold cordobas,NIO
(Philippines) Philippine pesos,PHP
(Sweden) Swedish kronor,SEK
(Taiwan) new Taiwan dollars,TWD
(Thailand) baht,THB
(Tunisia) Tunisian dinars,TND
(Turkey) Turkish liras,TRY
(Ukraine) hryvnia,UAH
(Botswana) pulas,BWP
(Greece) euros,EUR
(Morocco) Moroccan dirhams,MAD
(Panama) balboas,PAB
(Bangladesh) taka,BDT
(Dominican Republic) Dominican pesos,DOP
(Pakistan) Pakistani rupees,PKR
(Portugal) euros,EUR
(Azerbaijan) Azerbaijani manats,AZN
(Belgium) euros,EUR
(Bolivia) bolivianos,BOB
(Bulgaria) leva,BGN
(Cameroon) Communaute Financiere Africaine francs (XAF),XAF
"(Congo, Democratic Republic of the) Congolese francs",CDF
(Ecuador) US dollars,USD
(Hong Kong) Hong Kong dollars,HKD
(Jordan) Jordanian dinars,JOD
(Kazakhstan) tenge,KZT
(Latvia) euros,EUR
(Lebanon) Lebanese pounds,LBP
(Monaco) euros,EUR
(Poland) zlotych,PLN
(Sri Lanka) Sri Lankan rupees,LKR
(Switzerland) Swiss francs,CHF
(Uganda) Ugandan shillings,UGX
