Currency,2015,2023
AED,3.673,3.6725
ARS,9.62,181.223644
AUD,0.7522,1.4332
AZN,0.78,1.7
BDT,77.87,107.36
BGN,,1.807
BHD,0.38,0.376
BOB,6.92,6.91
BRL,3.3360,5.0961
BWP,,12.632
CAD,1.2791,1.3536
CDF,924.81,2307
CHF,,0.898
CLP,654.52,817.558573
CNY,6.2827,7.0823
COP,2744,4685.131937
CZK,24.59,22.168265
DKK,6.7263,6.8819
DOP,44.97,55.99
EGP,8.04,30.651
EUR,0.9019,0.9240
GBP,0.6545,0.8039
GHS,3.82,11.65
HKD,,7.831
IDR,13391,15143.883778
INR,64.151,82.570
IRR,28956,42024.803816
ISK,137.47,142.452161
JPY,121.05,140.51
JOD,0.709,0.7095
KRW,1131.49,1305.36
KWD,0.3012,0.306297
KZT,,456.23
LBP,1508,13000
LKR,,322.45
MAD,10.134,10.134
MOP,8.01,8.0609
MXN,15.875,17.737
MYR,3.902,4.567
MZN,32.27,63.79
NGN,198.0368,787.87
NIO,27.07,36.57
NOK,8.061,10.563
NZD,1.418,1.624
OMR,0.385,0.385
PAB,1000,1000
PEN,3.18,3.74
PHP,45.53,54.922288
PKR,,286.50
PLN,,4.24
QAR,3.643,3.64
RUB,61.25,68.999675
SAR,3.752,3.75
SEK,8.435,10.612
THB,34.25,34.89
TND,1.961,3.103
TRY,2.726,18.782064
TTD,6.355,6.787963
TWD,31.91,31.22
UAH,21.82,36.71
UGX,3239.98,3714.65
USD,1.000,1.000
VEF,6.31,35.81
XAF,591.75,626.42
XOF,591.75,606.18
ZAR,12.75,18.45
