EmploymentStatus,WorkFunction,WorkFunctionOther,Industry,IndustryOther,ProjectType1,ProjectType2,ProjectType3,ProjectType4,ProjectType5,ProjectType6,ProjectType7,ProjectType8,ProjectType9,ProjectType10,ProjectType11,ProjectType12,ProjectType13,ProjectType14,ProjectTypesOther,ManagerialDuties,NumberOfPeopleManaged,NumberOfCostProfessionalsInCompany,NumberOfEmployeesInCompany,LocationWork,LocationLive,JobSatisfaction,LevelOfEducation,TechnicalDegree,BusinessDegree,PE,AACECertified,YearsOfExperience,Age,Sex,OldSalaryCurrency,OldSalaryAmount,CurrentSalaryCurrency,CurrentSalaryAmount,OldBonusCurrency,OldBonusAmount,Consult,ConsultantFeeCurrency,ConsultantFeeAmount,ConsultHours,EntryLevelSalaryCurrency,EntryLevelSalaryAmount,SameEmployer,Member,EmploymentSituation,CertType1,CertType2,CertType3,CertType4,CertType5,CertType6,CertType7,CertType8,WhyChange,WorkHours,Travel,YrsWithEmployer,ProjectSize,SurveyYear,Which best describes your employment situation?,CertType9,Have you attended an AACE Conference & Expo (Annual Meeting)?,Have you presented a paper at an AACE Conference & Expo (Annual Meeting)?,Have you contributed to an AACE recommended practice?,SexOther,Race1,Race2,Race3,Race4,Race5,Race5.1,Race6,Race7,RemoteHrs,Amount per hour,CurrencyISO,Rate_to_USD,Salary_USD
Full-time,Project Control,,Construction - Other,,,Construction,,Environmental,,,,,,,,,,,,Yes,2.0,4.0,350.0,UNITED STATES - Louisiana,UNITED STATES - Louisiana,Somewhat satisfied,Undergraduate or bachelors degree,Yes,No,No,No,9.0,30.0,Male,(United States) US dollars,66000.0,,73500.0,(United States) US dollars,5000.0,No,,,,(United States) US dollars,50000.0,Yes,Yes,Employee,,,,,,,,,,40.0,20.0,7.0,5-20,2015,,,,,,,,,,,,,,,,,USD,1.0,
Full-time,Cost Engineering,,Government,,Architecture,Construction,Engineering,,Facility Management,Maintenance or Service,,Operations or Research,,,,,,,,Yes,25.0,1000.0,5000.0,UNITED STATES - Georgia,UNITED STATES - Georgia,Very satisfied,Graduate - masters degree,Yes,Yes,No,Yes,37.0,58.0,Male,(United States) US dollars,122000.0,,125000.0,(United States) US dollars,1500.0,No,,,,(United States) US dollars,65000.0,Yes,Yes,Employee,CCP,,CEP,,,,,PSP,,50.0,10.0,25.0,20-100,2015,,,,,,,,,,,,,,,,,USD,1.0,
Full-time,Claims and Dispute Resolution,,Construction - Heavy,,,Construction,,,,,,,,Procurement,,,,,,Yes,7.0,100.0,10000.0,UNITED KINGDOM,UNITED KINGDOM,Somewhat satisfied,Undergraduate or bachelors degree,No,No,No,No,16.0,35.0,Male,(United Kingdom) British pounds,53000.0,,56000.0,(United Kingdom) British pounds,4000.0,No,,,,(United Kingdom) British pounds,46000.0,Yes,No,Employee,,,,,,,,,,45.0,20.0,4.0,20-100,2015,,,,,,,,,,,,,,,,,GBP,1.5284,
Full-time,Cost Estimating,,Engineering,,,,Engineering,,,,,,,,,,,,,Yes,8.0,50.0,500.0,UNITED STATES - Louisiana,UNITED STATES - Louisiana,Very dissatisfied,Undergraduate or bachelors degree,Yes,No,No,No,32.0,54.0,Male,(United States) US dollars,174720.0,,180960.0,(United States) US dollars,,No,,,,(United States) US dollars,50000.0,Yes,No,Employee,,,,,,,,,,50.0,,9.0,5-20,2015,,,,,,,,,,,,,,,,,USD,1.0,
Full-time,Claims and Dispute Resolution,,Consulting,,,Construction,,,,,,,,,,,,,,No,,50.0,4500.0,UNITED ARAB EMIRATES,LEBANON,Very satisfied,Undergraduate or bachelors degree,Yes,No,No,No,5.0,29.0,Male,(United States) US dollars,48000.0,,50000.0,(United States) US dollars,4000.0,Yes,(United States) US dollars,150.0,1980.0,(United States) US dollars,48000.0,Yes,No,Employee,,,,,,,,,,45.0,45.0,3.0,500-1000,2015,,,,,,,,,,,,,,,,,USD,1.0,
Full-time,Project Management,,Engineering,,,Construction,Engineering,,,,,,,,,,,,,Yes,15.0,3.0,100.0,PERU,PERU,Somewhat satisfied,Graduate - masters degree,Yes,Yes,Yes,No,10.0,34.0,Male,(United States) US dollars,80000.0,,80000.0,(United States) US dollars,,No,,,,(United States) US dollars,70000.0,Yes,Yes,Partner,,,,,,,,,,50.0,8.0,5.0,0-5,2015,,,,,,,,,,,,,,,,,USD,1.0,
Full-time,Project Management,,Power Generation or Utilities,,,Construction,,,,,,,,,,Software Development,Telecommunications or IT,,,No,,100.0,30000.0,UNITED STATES - California,UNITED STATES - California,Somewhat dissatisfied,Graduate - masters degree,No,Yes,No,Yes,10.0,34.0,Male,(United States) US dollars,130000.0,,140000.0,(United States) US dollars,,No,,,,(United States) US dollars,50000.0,No,Yes,Employee,CCP,,,,,,,,Yes,40.0,,,20-100,2015,,,,,,,,,,,,,,,,,USD,1.0,
Full-time,Project Control,,Government,,,Construction,,,,,,,,,,,,,,No,,3000.0,60000.0,UNITED STATES - Washington,UNITED STATES - Washington,Very dissatisfied,Graduate - masters degree,No,Yes,No,Yes,24.0,49.0,Male,(United States) US dollars,115000.0,,117000.0,(United States) US dollars,4000.0,No,,,,(United States) US dollars,58000.0,Yes,Yes,Employee,CCP,,,,,,EVP,,,50.0,9.0,24.0,1000,2015,,,,,,,,,,,,,,,,,USD,1.0,
Full-time,Cost Estimating,,Construction - Other,,Architecture,Construction,,,,,,,Product Development,,,,,,,No,,1.0,18.0,UNITED STATES - Maryland,UNITED STATES - Maryland,Somewhat dissatisfied,High school,No,No,No,No,8.0,29.0,Male,(United States) US dollars,73000.0,,85000.0,(United States) US dollars,6000.0,No,,,,(United States) US dollars,60000.0,Yes,No,Employee,,,,,,,,,,50.0,5.0,8.0,0-5,2015,,,,,,,,,,,,,,,,,USD,1.0,
Full-time,Cost Engineering,,Power Generation or Utilities,,,Construction,,,,,,,,,,,,,,No,,50.0,80.0,UNITED STATES - Michigan,UNITED STATES - Michigan,Somewhat satisfied,Graduate - masters degree,Yes,Yes,No,No,6.0,34.0,Female,(United States) US dollars,63000.0,,65000.0,(United States) US dollars,40000.0,No,,,,(United States) US dollars,50000.0,Yes,Yes,Employee,,,,,,,,,,40.0,,4.0,5-20,2015,,,,,,,,,,,,,,,,,USD,1.0,
Full-time,Planning and Scheduling,,Construction - Heavy,,Architecture,Construction,Engineering,,,,,,,,,,,,,Yes,5.0,40.0,40.0,UNITED STATES - ALL,UNITED STATES - Maryland,Very satisfied,Undergraduate or bachelors degree,No,No,No,Yes,10.0,32.0,Male,(United States) US dollars,100000.0,,115000.0,(United States) US dollars,10000.0,Yes,(United States) US dollars,155.0,2100.0,(United States) US dollars,55000.0,Yes,Yes,Employee,,,,,,,,PSP,,50.0,60.0,10.0,500-1000,2015,,,,,,,,,,,,,,,,,USD,1.0,
Full-time,Cost Engineering,,Engineering,,,,Engineering,,,,,,,,,,,,,No,,2.0,1000.0,AUSTRALIA,AUSTRALIA,Somewhat satisfied,Associate degree,No,No,No,No,13.0,51.0,Male,(Australia) Australian dollars,123000.0,,110000.0,(Australia) Australian dollars,,No,,,,(Australia) Australian dollars,90000.0,No,No,Employee,,,,,,,,,No,40.0,,,1000,2015,,,,,,,,,,,,,,,,,AUD,0.7522,
Full-time,Cost Engineering,,Transportation,,,Construction,,,,,,,,,,,,,,Yes,2.0,1.0,1500.0,MEXICO,MEXICO,Somewhat satisfied,Graduate - masters degree,Yes,No,No,No,13.0,41.0,Male,(Mexico) Mexican pesos,520000.0,,520000.0,(Mexico) Mexican pesos,520000.0,No,,,,(Mexico) Mexican pesos,300000.0,Yes,No,Employee,,,,,,,,,,45.0,10.0,,5-20,2015,,,,,,,,,,,,,,,,,MXN,15.8735,
Full-time,Project Control,,Government,,Architecture,,Engineering,Environmental,,,,,,,,,,,,No,,500.0,90000.0,UNITED STATES - California,UNITED STATES - California,Very satisfied,High school,No,No,No,No,38.0,61.0,Male,(United States) US dollars,136900.0,,138900.0,(United States) US dollars,,No,,,,(United States) US dollars,50000.0,Yes,Yes,Employee,,,,,,,,,,40.0,10.0,28.0,5-20,2015,,,,,,,,,,,,,,,,,USD,1.0,
Full-time,Cost Engineering,,Power Generation or Utilities,,,,Engineering,,Facility Management,,,,,,,,,,,No,,10.0,800.0,CANADA - ALL,CANADA - Alberta,Very satisfied,Undergraduate or bachelors degree,Yes,Yes,Yes,No,8.0,30.0,Male,(Canada) Canadian dollars,90000.0,,100000.0,(Canada) Canadian dollars,10000.0,No,,,,(Canada) Canadian dollars,70000.0,Yes,Yes,Employee,,,,,,,,,,37.5,,5.0,0-5,2015,,,,,,,,,,,,,,,,,CAD,1.2791,
Full-time,Project Management,,Pharmaceuticals,,,Construction,,,,,,,,,,,,,,Yes,30.0,2.0,30.0,UNITED STATES - Oregon,UNITED STATES - Oregon,Very satisfied,Associate degree,No,Yes,No,No,15.0,38.0,Male,(United States) US dollars,179000.0,,256000.0,(United States) US dollars,125000.0,Yes,(United States) US dollars,295.0,479.0,(United States) US dollars,40000.0,Yes,No,Partner,,,,,,,,,,97.0,15.0,15.0,0-5,2015,,,,,,,,,,,,,,,,,USD,1.0,
Full-time,Cost Engineering,,Power Generation or Utilities,,,Construction,Engineering,,,,,,,Procurement,,,,,,Yes,5.0,1000.0,300000.0,UNITED STATES - New Jersey,UNITED STATES - New Jersey,Somewhat satisfied,Graduate - masters degree,Yes,Yes,No,Yes,15.0,40.0,Male,(United States) US dollars,150000.0,,160000.0,(United States) US dollars,3500.0,Yes,,,1200.0,,,No,Yes,Employee,CCP,,,,,,,PSP,Yes,45.0,50.0,,1000,2015,,,,,,,,,,,,,,,,,USD,1.0,
Full-time,Project Management,,Consulting,,Architecture,Construction,Engineering,Environmental,,,,,,Procurement,,,,,,Yes,5.0,20000.0,100000.0,SOUTH AFRICA,SOUTH AFRICA,Somewhat satisfied,Undergraduate or bachelors degree,No,No,Yes,No,10.0,31.0,Male,(South Africa) rand,420000.0,,520000.0,(South Africa) rand,,Yes,(South Africa) rand,262.0,1620.0,(South Africa) rand,600000.0,No,Yes,Employee,,,,,,,,,Yes,47.5,3.0,,20-100,2015,,,,,,,,,,,,,,,,,UNMAPPED,,
Full-time,Cost Engineering,,Consulting,,,,Engineering,,,,,,,,,,,,,Yes,3.0,10000.0,100000.0,UNITED KINGDOM,UNITED KINGDOM,Somewhat satisfied,Undergraduate or bachelors degree,Yes,No,No,No,10.0,35.0,Male,(South Africa) rand,800000.0,,60000.0,(South Africa) rand,20000.0,No,,,,(United Kingdom) British pounds,60000.0,Yes,No,Employee,,,,,,,,,,45.0,10.0,4.75,0-5,2015,,,,,,,,,,,,,,,,,GBP,1.5284,
Full-time,Planning and Scheduling,,Construction - Heavy,,,Construction,Engineering,,,,,,,Procurement,,,,,,No,,25.0,15000.0,SAUDI ARABIA,PAKISTAN,Very dissatisfied,Graduate - masters degree,Yes,Yes,Yes,Yes,6.0,30.0,Male,(Saudi Arabia) Saudi riyals,72000.0,,180000.0,(Saudi Arabia) Saudi riyals,,No,,,,(Saudi Arabia) Saudi riyals,120000.0,No,Yes,Employee,,,,,,,,PSP,Yes,48.0,,,100-500,2015,,,,,,,,,,,,,,,,,SAR,,
Full-time,Cost Estimating,,Consulting,,,Construction,,,,,,,,,,,,,,Yes,4.0,4.0,30.0,UNITED STATES - Texas,UNITED STATES - Texas,Very satisfied,Undergraduate or bachelors degree,Yes,Yes,No,No,13.0,36.0,Male,(United States) US dollars,77000.0,,100000.0,(United States) US dollars,6500.0,No,,,,(United States) US dollars,50000.0,Yes,No,Employee,,,,,,,,,,50.0,15.0,12.0,5-20,2015,,,,,,,,,,,,,,,,,USD,1.0,
Full-time,Cost Estimating,,Mining or Minerals,,,Construction,Engineering,,,,,,,,,,,,,Yes,12.0,30.0,700.0,CANADA - British Columbia,CANADA - British Columbia,Somewhat satisfied,Undergraduate or bachelors degree,Yes,No,Yes,No,20.0,44.0,Female,(Canada) Canadian dollars,175000.0,,175000.0,(Canada) Canadian dollars,10000.0,No,,,,(Canada) Canadian dollars,60000.0,No,Yes,Employee,,,,,,,,,No,45.0,5.0,,1000,2015,,,,,,,,,,,,,,,,,CAD,1.2791,
Full-time,Cost Engineering,,Oil or Gas Production,,,,Engineering,,,,,,,,,,,,,No,,20.0,1000.0,UNITED STATES - Alaska,UNITED STATES - Alaska,Very satisfied,Undergraduate or bachelors degree,No,Yes,No,Yes,6.0,35.0,Female,(United States) US dollars,66000.0,,90000.0,(United States) US dollars,,No,,,,(United States) US dollars,60000.0,No,Yes,Employee,,,,,CST,,,,Yes,40.0,,,5-20,2015,,,,,,,,,,,,,,,,,USD,1.0,
